"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 10 12:53:29 UTC 2024","Sun Nov 10 12:53:29 UTC 2024","389","tests","test_04_delete_pet","","","","test_delete_pet",""
"passed","Sun Nov 10 12:53:28 UTC 2024","Sun Nov 10 12:53:28 UTC 2024","207","tests","test_01_create_pet","","","","test_create_pet",""
"passed","Sun Nov 10 12:53:28 UTC 2024","Sun Nov 10 12:53:28 UTC 2024","74","tests","test_02_get_pet","","","","test_get_pet",""
"passed","Sun Nov 10 12:53:28 UTC 2024","Sun Nov 10 12:53:28 UTC 2024","176","tests","test_03_update_pet","","","","test_update_pet",""
